SEASON,ERA_ENVIRONMENT_SAMPLE_PLAYERS,ERA_ENVIRONMENT_SAMPLE_POSSESSIONS,ERA_PLAYOFF_PACE,ERA_PLAYOFF_OFF_RATING,ERA_PLAYOFF_TS_PCT,ERA_PLAYOFF_3PA_RATE,ERA_PLAYOFF_FTA_RATE
1999-00,59,47354,89.25508474576272,101.77796610169491,0.5255272620224152,0.18671998061311038,0.34654065188416333
2000-01,56,45548,92.06428571428572,102.53750000000001,0.518947776882305,0.1828062034436439,0.3306875076321895
2001-02,57,45959,92.98701754385965,101.8561403508772,0.5213058714767914,0.21822897369396071,0.3383969371372113
2002-03,57,52993,92.79561403508771,103.31052631578947,0.531347416845737,0.2269804947150485,0.34575569358178054
2003-04,55,48963,90.002,98.17636363636365,0.5097786303755767,0.20781990521327015,0.34940758293838864
2004-05,57,51312,91.6880701754386,105.68070175438595,0.5450246521057968,0.21195652173913043,0.3531499556344277
2005-06,58,56388,91.14034482758619,107.01551724137931,0.5574795851281296,0.21891891891891893,0.3576923076923077
2006-07,57,48244,92.1159649122807,104.52105263157894,0.541525836955661,0.23437874072300693,0.3384007661000718
2007-08,56,50491,90.04160714285715,106.54642857142858,0.5471916447192039,0.22256132022154404,0.33355939866621453
2008-09,57,49916,90.35245614035087,108.15438596491228,0.5590857397348518,0.25678641561741944,0.368141388471757
2009-10,56,48118,91.67357142857144,108.37857142857142,0.5576281701635099,0.24437998549673676,0.3660865361372976
2010-11,63,49490,89.58603174603176,104.26825396825399,0.5384248749868726,0.2231769623780771,0.3406874129122155
2011-12,63,51267,91.0573015873016,103.14920634920637,0.533538372556529,0.22409585089860218,0.30796538717550476
2012-13,59,50936,90.8864406779661,103.86779661016949,0.5363499358322769,0.24860894725127977,0.30503004673937234
2013-14,59,52235,92.46610169491525,107.26440677966103,0.5614689126066044,0.2807843996494303,0.3092681858019281
2014-15,59,52551,96.14101694915257,104.09661016949154,0.5359515510966474,0.3153409090909091,0.30649038461538464
2015-16,61,53324,95.02639344262295,106.90655737704917,0.547542485370824,0.31828205397458786,0.2803738317757009
2016-17,63,47139,96.41095238095238,110.37619047619047,0.5708459252649567,0.3636794689426268,0.2875770507349455
2017-18,62,51775,97.83451612903225,107.05483870967741,0.5605363670767057,0.3706492089470813,0.26972176759410804
2018-19,62,55019,98.87209677419354,108.9241935483871,0.5645724004593624,0.3887009125397314,0.2921152465907926
2019-20,65,56337,99.01076923076924,110.02307692307693,0.5807301849357721,0.42619775739041793,0.2868501529051988
2020-21,58,53494,97.87086206896552,114.81379310344828,0.5866754931421261,0.3934595881196316,0.2569595363758667
2021-22,60,55031,97.45266666666667,110.17833333333331,0.5739352069464334,0.42110624427014365,0.26871753081389427
2022-23,59,54433,97.34322033898304,112.14406779661016,0.5752466702686629,0.38508878127522195,0.25655770782889425
2023-24,58,50676,94.67827586206896,112.92586206896551,0.5757706146225975,0.3898432467253597,0.23384152888125403
2024-25,60,53903,97.4225,112.74833333333332,0.5724285368838344,0.40307438357577635,0.2871144124626019
2025-26,56,49952,97.55232142857143,111.68035714285715,0.5763567690411792,0.39541708996500735,0.2920194152838921
