TEAM_ID,TEAM_ABBREVIATION,PRIMARY_PLAYER_ID,PRIMARY,PRIMARY_ROLE_SCORE,PRIMARY_PPG,PRIMARY_USG_PCT,PRIMARY_AST_PCT,PRIMARY_SCORING_LOAD,PRIMARY_CREATION_ENGINE,PRIMARY_IMPACT_SIGNAL,SECONDARY_PLAYER_ID,SECONDARY,SECONDARY_ROLE_SCORE,SECONDARY_PPG,SECONDARY_USG_PCT,SECONDARY_AST_PCT,SECONDARY_SCORING_LOAD,SECONDARY_CREATION_ENGINE,SECONDARY_IMPACT_SIGNAL,THIRD,THIRD_ROLE_SCORE,HIERARCHY_MARGIN,SECONDARY_MARGIN,ROLE_REVIEW_STATUS,SEASON,MODEL_PRIMARY,MODEL_SECONDARY,PAIRING_SOURCE,EDITORIAL_NOTE,FINAL_PRIMARY,FINAL_SECONDARY
1610612751,NJN,467,Jason Kidd,100.0,19.55,0.247,0.388,100.0,100.0,100.0,2030,Kenyon Martin,63.948013133142624,16.8,0.237,0.128,82.82718062766962,22.746098190602503,17.431192660550458,Keith Van Horn,47.112112076399136,51.338002752626764,16.835901056743488,CLEAR,2001-02,Jason Kidd,Kenyon Martin,MODEL_PROPOSAL,,Jason Kidd,Kenyon Martin
1610612758,SAC,185,Chris Webber,97.56214555765595,23.6875,0.268,0.212,100.0,91.87381852551985,100.0,1710,Mike Bibby,72.09209087276803,20.25,0.217,0.197,69.67228963372483,93.09815950920247,62.88659793814432,Peja Stojakovic,39.44380186126284,21.124165294571412,32.648289011505184,CLEAR,2001-02,Chris Webber,Mike Bibby,MODEL_PROPOSAL,,Chris Webber,Mike Bibby
1610612742,DAL,1717,Dirk Nowitzki,75.43311928219563,25.294117647058822,0.25,0.086,97.42857142857142,21.53896903589022,100.0,89,Nick Van Exel,74.86713601426685,19.45,0.262,0.223,82.86156551781552,63.59393890182069,56.30252100840336,Steve Nash,61.50190598668331,5.7474608165983625,13.365230027583536,CLEAR,2002-03,Dirk Nowitzki,Nick Van Exel,MODEL_PROPOSAL,,Dirk Nowitzki,Nick Van Exel
1610612765,DET,1497,Chauncey Billups,80.10197820264624,18.0,0.254,0.276,76.73950561366432,86.23751387347392,80.0,1888,Richard Hamilton,86.88134073700813,22.529411764705884,0.294,0.164,100.0,33.99308290244153,70.96774193548386,Tayshaun Prince,42.544821056567315,7.873633788375599,44.336519680440816,OWNER_REVIEWED,2002-03,Chauncey Billups,Richard Hamilton,OWNER_REVIEWED,Owner-reviewed: Billups was the offensive engine; Hamilton was the scoring finisher.,Chauncey Billups,Richard Hamilton
1610612751,NJN,467,Jason Kidd,97.56877506599965,20.1,0.241,0.356,97.77777777777776,94.85887984962848,100.0,2030,Kenyon Martin,81.7068642125959,18.9,0.251,0.142,95.01052631578946,23.73830683153681,66.66666666666666,Richard Jefferson,51.358424053201155,31.533547732710403,30.348440159394748,CLEAR,2002-03,Jason Kidd,Kenyon Martin,MODEL_PROPOSAL,,Jason Kidd,Kenyon Martin
1610612759,SAS,1495,Tim Duncan,96.58786416496822,24.708333333333332,0.264,0.25,100.0,88.62621388322742,100.0,2225,Tony Parker,53.00747478361026,14.666666666666666,0.235,0.192,62.32506302572509,66.79569988250257,15.340909090909092,Stephen Jackson,38.58184297151484,45.03546970674327,14.425631812095425,CLEAR,2002-03,Tim Duncan,Tony Parker,MODEL_PROPOSAL,,Tim Duncan,Tony Parker
1610612765,DET,1497,Chauncey Billups,65.48509261636245,16.434782608695652,0.215,0.286,51.88749447147279,93.22440778341794,54.54545454545456,1888,Richard Hamilton,88.18104197254193,21.47826086956522,0.269,0.224,100.0,58.17405608905558,61.81818181818184,Rasheed Wallace,26.538343063310446,-12.421669664899682,61.642698909231484,OWNER_REVIEWED,2003-04,Richard Hamilton,Chauncey Billups,OWNER_REVIEWED,Owner-reviewed: Billups was the offensive engine; Hamilton was the scoring finisher.,Chauncey Billups,Richard Hamilton
1610612754,IND,979,Jermaine O'Neal,70.87070625441393,19.1875,0.279,0.068,99.5427264932838,4.591342169399547,100.0,1897,Metta World Peace,83.65692695430077,18.4,0.272,0.173,96.61178045515393,39.361927353737926,59.61538461538461,Reggie Miller,43.485719444323394,0.5135697123848217,40.17120750997738,EDITORIAL_REVIEW_REQUIRED,2003-04,Jermaine O'Neal,Metta World Peace,MODEL_PROPOSAL,Resolve Jermaine O'Neal/Artest hierarchy.,Jermaine O'Neal,Metta World Peace
1610612747,LAL,977,Kobe Bryant,91.6214364694005,24.5,0.292,0.256,100.0,82.82414307004471,87.09677419354837,406,Shaquille O'Neal,75.38700758509454,21.5,0.247,0.115,74.23402255639098,26.4908256880734,100.0,Karl Malone,41.093734935536524,24.49476938578904,34.29327264955801,CLEAR,2003-04,Kobe Bryant,Shaquille O'Neal,MODEL_PROPOSAL,,Kobe Bryant,Shaquille O'Neal
1610612750,MIN,708,Kevin Garnett,91.43276203685357,24.333333333333332,0.303,0.235,100.0,71.44254012284526,100.0,84,Latrell Sprewell,68.3629714584057,19.833333333333332,0.236,0.172,77.49289914031019,52.24338031019059,39.568345323741006,Sam Cassell,62.4091207220326,26.609259301648166,5.953850736373099,AMBIGUOUS_SECONDARY,2003-04,Kevin Garnett,Latrell Sprewell,MODEL_PROPOSAL,,Kevin Garnett,Latrell Sprewell
